filename,start_date,finish_date,start_time,end_time,start_coordinates,end_coordinates
183_timezero_swimtrack_16-08-2025.gpx,2025-08-16,2025-08-16,6:19:10,6:38:16,"63.635798,-21.329324","63.634676,-21.312101"
182_timezero_swimtrack_16-08-2025.gpx,2025-08-16,2025-08-16,2:52:14,6:03:37,"63.649106,-21.538264","63.635950,-21.328273"
188_timezero_swimtrack_17-08-2025.gpx,2025-08-17,2025-08-17,15:09:56,17:40:49,"63.619241,-20.993067","63.609868,-20.850967"
187_timezero_swimtrack_17-08-2025.gpx,2025-08-17,2025-08-17,14:46:02,15:02:18,"63.620182,-21.006918","63.619347,-20.991569"
186_timezero_swimtrack_16-08-2025.gpx,2025-08-17,2025-08-17,1:18:32,3:16:59,"63.622899,-21.103848","63.621035,-21.003498"
189_timezero_swimtrack_19-08-2025.gpx,2025-08-19,2025-08-19,20:00:36,20:00:35,"63.349938,-18.297182","63.349938,-18.297204"
191_timezero_swimtrack_20-08-2025.gpx,2025-08-20,2025-08-20,9:31:29,9:45:39,"63.341086,-18.134917","63.340448,-18.123165"
190_timezero_swimtrack_20-08-2025.gpx,2025-08-20,2025-08-20,7:32:22,9:14:32,"63.342917,-18.236271","63.340852,-18.134116"
192_timezereo_swimtrack_21-08-2025.gpx,2025-08-21,2025-08-21,9:00:11,12:45:35,"63.339828,-18.129929","63.365643,-17.931618"
193_timezero_swimtrack_21-08-2025.gpx,2025-08-21,2025-08-21,19:03:52,21:14:43,"63.365657,-17.932521","63.382286,-17.821820"
194_timezero_swimtrack_21-08-2025.gpx,2025-08-21,2025-08-21,21:17:53,22:27:57,"63.381783,-17.821594","63.388212,-17.757707"
195_timezero_swimtrack_22-08-2025.gpx,2025-08-22,2025-08-22,11:13:29,11:13:29,"63.395463,-17.720662","63.395463,-17.720662"
196_timezero_swimtrack_22-08-2025.gpx,2025-08-22,2025-08-22,12:00:35,12:51:23,"63.397421,-17.697549","63.399832,-17.665254"
198_timezero_swimtrack_23-08-2025.gpx,2025-08-23,2025-08-23,16:10:50,16:10:48,"64.067027,-15.497430","64.067046,-15.497402"
197_timezero_swimtrack_23-08-2025.gpx,2025-08-23,2025-08-23,3:35:31,7:17:06,"64.168768,-15.185797","64.089999,-15.442643"
200_timezero_swimtrack_24-08-2025.gpx,2025-08-24,2025-08-24,17:31:24,19:15:45,"63.956838,-15.839565","63.948673,-15.911003"
199_timezero_swimtrack_24-08-2025.gpx,2025-08-24,2025-08-24,3:48:57,7:17:42,"64.021590,-15.678823","63.959866,-15.874593"
201_timezero_swimtrack_27-08-2025.gpx,2025-08-27,2025-08-27,18:48:22,22:46:29,"63.949045,-15.909974","63.880619,-16.100412"
203_timezeroswimtrack_28-08-2025.gpx,2025-08-28,2025-08-28,19:46:57,23:26:24,"63.836046,-16.273832","63.781440,-16.438065"
202_timezero_swimtrack_28-08-2025.gpx,2025-08-28,2025-08-28,8:36:48,11:55:19,"63.881313,-16.091206","63.835679,-16.275101"
205_timezero_swimtrack_29-08-2025.gpx,2025-08-29,2025-08-29,18:25:44,21:00:17,"63.713355,-16.691941","63.662665,-16.868124"
204_timezero_swimtrack_29-08-2025.gpx,2025-08-29,2025-08-29,7:45:58,10:57:23,"63.782988,-16.434064","63.713089,-16.692868"
207_timezero_swimtrack_30-08-2025 - Copy.gpx,2025-08-30,2025-08-30,18:03:23,20:41:52,"63.614525,-17.046815","63.569428,-17.192597"
207_timezero_swimtrack_30-08-2025.gpx,2025-08-30,2025-08-30,18:03:23,20:41:52,"63.614525,-17.046815","63.569428,-17.192597"
206_timezero_swimtrack_30-08-2025.gpx,2025-08-30,2025-08-30,8:10:15,11:19:19,"63.663345,-16.867324","63.613774,-17.047871"
210_timezero_swimtrack_31-08-2025.gpx,2025-08-31,2025-08-31,18:20:15,21:04:22,"63.522790,-17.314253","63.477682,-17.457636"
209_timezero_swimtrack_31-08-2025.gpx,2025-08-31,2025-08-31,11:06:27,12:21:56,"63.535660,-17.287084","63.523815,-17.313753"
208_timezero_swimtrack_31-08-2025.gpx,2025-08-31,2025-08-31,8:33:45,11:03:06,"63.570486,-17.189867","63.536427,-17.280213"
213_timezero_swimtrack_01-09-2025.gpx,2025-09-01,2025-09-01,16:18:10,18:43:31,"63.436053,-17.591383","63.399526,-17.666669"
212_timezero_swimtrack_01-09-2025.gpx,2025-09-01,2025-09-01,14:25:03,15:50:21,"63.454017,-17.537658","63.434774,-17.591415"
211_timezero_swimtrack_01-09-2025.gpx,2025-09-01,2025-09-01,11:59:39,14:23:55,"63.478127,-17.457053","63.455217,-17.533632"
214_timezero_swimtrack_03-09-2025.gpx,2025-09-03,2025-09-03,11:50:37,13:03:58,"63.684699,-22.217277","63.697286,-22.270910"
215_timezero_swimtrack_03-09-2025.gpx,2025-09-03,2025-09-03,13:13:40,14:43:27,"63.697219,-22.270259","63.713103,-22.339550"
216_timezero_swimtrack_03-09-2025.gpx,2025-09-03,2025-09-03,15:12:30,16:18:12,"63.713262,-22.336818","63.723990,-22.398773"
217_timezero_swimtrack_04-09-2025.gpx,2025-09-04,2025-09-04,2:25:12,5:28:04,"63.725824,-22.426634","63.782676,-22.676189"
218_timezero_swimtrack_04-09-2025.gpx,2025-09-04,2025-09-04,13:04:47,15:41:50,"63.781351,-22.675231","63.849352,-22.746366"
219_timezero_swimtrack_05-09-2025.gpx,2025-09-05,2025-09-05,1:19:27,3:41:09,"63.849577,-22.744294","63.923463,-22.781273"
220_timezero_swimtrack_05-09-2025.gpx,2025-09-05,2025-09-05,12:24:47,15:45:20,"63.919343,-22.783707","64.034729,-22.777392"
221_timezero_swimtrack_06-09-2025.gpx,2025-09-06,2025-09-06,1:20:02,3:14:19,"64.033986,-22.778430","64.097942,-22.696620"
223_timezero_swimtrack_06-09-2025.gpx,2025-09-06,2025-09-06,6:51:23,7:44:36,"64.092889,-22.691028","64.082580,-22.691964"
222_timezero_swimtrack_06-09-2025.gpx,2025-09-06,2025-09-06,5:59:00,6:42:39,"64.097586,-22.698666","64.092643,-22.690287"
