filename,start_date,finish_date,start_time,end_time,start_coordinates,end_coordinates
19850516244_ACTIVITY.fit,2025-07-21,2025-07-21,6:40:15,10:26:08,"65.941331,-14.166608","65.849153,-14.019836"
19996615612_ACTIVITY.fit,2025-07-23,2025-07-23,9:06:57,13:21:24,"65.597755,-13.623712","65.477901,-13.588846"
19996637757_ACTIVITY.fit,2025-07-23,2025-07-24,20:55:21,0:14:12,"65.478306,-13.589766","65.337800,-13.626888"
19996651271_ACTIVITY.fit,2025-07-24,2025-07-24,9:56:51,13:27:55,"65.337977,-13.626841","65.220099,-13.536500"
19996689335_ACTIVITY.fit,2025-07-26,2025-07-26,12:29:36,16:51:52,"65.220228,-13.536782","65.040733,-13.480938"
19997350250_ACTIVITY.fit,2025-07-27,2025-07-27,1:04:02,4:36:03,"65.040683,-13.481001","64.918389,-13.644863"
19997361287_ACTIVITY.fit,2025-07-27,2025-07-27,13:00:46,16:33:54,"64.918461,-13.644756","64.758094,-13.833969"
19997373177_ACTIVITY.fit,2025-07-28,2025-07-28,2:03:05,5:46:47,"64.758587,-13.830821","64.661925,-14.106202"
19997384110_ACTIVITY.fit,2025-07-28,2025-07-28,14:57:38,18:25:50,"64.662129,-14.105350","64.573353,-14.290381"
19997396351_ACTIVITY.fit,2025-07-29,2025-07-29,4:00:54,7:59:59,"64.573740,-14.290118","64.428657,-14.347811"
19997406378_ACTIVITY.fit,2025-07-29,2025-07-29,16:00:55,19:27:52,"64.429447,-14.343233","64.337380,-14.454982"
19997412906_ACTIVITY.fit,2025-07-30,2025-07-30,5:03:39,5:04:56,"64.337339,-14.454475","64.337353,-14.454313"
19997423960_ACTIVITY.fit,2025-07-31,2025-07-31,5:39:14,9:10:43,"64.288802,-14.626737","64.242447,-14.786197"
19997428716_ACTIVITY.fit,2025-07-31,2025-07-31,17:02:17,18:38:31,"64.242412,-14.785312","64.229997,-14.828463"
19997442779_ACTIVITY.fit,2025-08-01,2025-08-01,6:04:02,8:00:03,"64.211601,-14.910050","64.191962,-15.081280"
19997452193_ACTIVITY.fit,2025-08-04,2025-08-04,13:58:33,15:57:46,"63.496525,-20.202464","63.494835,-20.080771"
19997458854_ACTIVITY.fit,2025-08-04,2025-08-04,18:00:35,19:58:13,"63.484909,-19.948918","63.473580,-19.816990"
19997460249_ACTIVITY.fit,2025-08-05,2025-08-05,10:47:05,11:13:14,"63.471647,-19.794684","63.468874,-19.761920"
19997467492_ACTIVITY.fit,2025-08-05,2025-08-05,11:22:38,13:41:52,"63.468743,-19.762636","63.441994,-19.633075"
19997477129_ACTIVITY.fit,2025-08-05,2025-08-05,14:25:28,17:32:47,"63.442214,-19.633273","63.417760,-19.484924"
19997483946_ACTIVITY.fit,2025-08-06,2025-08-06,1:25:33,3:37:31,"63.411435,-19.445388","63.367732,-19.269103"
19997489053_ACTIVITY.fit,2025-08-06,2025-08-06,10:59:02,12:59:09,"63.367825,-19.269368","63.371148,-19.172476"
19997494643_ACTIVITY.fit,2025-08-07,2025-08-08,22:10:26,0:09:41,"63.371086,-19.171901","63.356542,-19.035403"
19997495970_ACTIVITY.fit,2025-08-08,2025-08-08,8:05:01,8:30:32,"63.356220,-19.035933","63.354820,-19.023993"
19997500014_ACTIVITY.fit,2025-08-08,2025-08-08,8:49:45,10:07:51,"63.354984,-19.024049","63.344077,-18.985340"
19997507411_ACTIVITY.fit,2025-08-08,2025-08-08,11:13:11,13:56:37,"63.343905,-18.985848","63.342691,-18.858676"
19997513596_ACTIVITY.fit,2025-08-08,2025-08-09,23:59:49,2:13:32,"63.342770,-18.858171","63.350422,-18.730449"
20002471763_ACTIVITY.fit,2025-08-09,2025-08-09,10:55:54,13:26:23,"63.350515,-18.730890","63.352591,-18.616005"
20007308850_ACTIVITY.fit,2025-08-09,2025-08-09,21:36:22,23:56:37,"63.352582,-18.616628","63.370541,-18.540083"
20007607112_ACTIVITY.fit,2025-08-10,2025-08-10,0:08:41,1:06:34,"63.370311,-18.540343","63.385973,-18.539256"
20011258856_ACTIVITY.fit,2025-08-10,2025-08-10,10:22:18,10:41:06,"63.385890,-18.538591","63.385730,-18.534564"
20019342089_ACTIVITY.fit,2025-08-11,2025-08-11,1:59:01,5:54:18,"63.496618,-20.201921","63.541116,-20.443416"
20051751116_ACTIVITY.fit,2025-08-12,2025-08-12,14:23:16,18:11:43,"63.542271,-20.442109","63.576775,-20.644214"
20051763613_ACTIVITY.fit,2025-08-13,2025-08-13,4:09:10,7:44:04,"63.577157,-20.643789","63.609830,-20.852058"
20051765146_ACTIVITY.fit,2025-08-13,2025-08-13,23:14:17,23:41:49,"63.725797,-22.427655","63.724935,-22.413691"
20051766676_ACTIVITY.fit,2025-08-14,2025-08-14,0:58:35,1:25:46,"63.724999,-22.414146","63.723964,-22.397639"
20058479880_ACTIVITY.fit,2025-08-14,2025-08-14,12:35:42,17:05:47,"63.684963,-22.218540","63.674197,-21.923044"
20063452974_ACTIVITY.fit,2025-08-15,2025-08-15,4:12:52,7:04:20,"63.674113,-21.923506","63.662344,-21.757507"
20069363942_ACTIVITY.fit,2025-08-15,2025-08-15,14:17:31,17:35:16,"63.662773,-21.758428","63.648620,-21.535647"
20072962197_ACTIVITY.fit,2025-08-16,2025-08-16,2:54:24,6:03:14,"63.648675,-21.535013","63.635970,-21.328774"
20073136766_ACTIVITY.fit,2025-08-16,2025-08-16,6:19:28,6:38:08,"63.635711,-21.328853","63.634681,-21.312380"
20078469912_ACTIVITY.fit,2025-08-16,2025-08-16,13:07:07,15:12:19,"63.634941,-21.313152","63.625759,-21.182719"
20079467167_ACTIVITY.fit,2025-08-16,2025-08-16,15:28:18,16:46:39,"63.625837,-21.182977","63.623058,-21.103495"
20088897711_ACTIVITY.fit,2025-08-17,2025-08-17,1:19:18,3:10:09,"63.622976,-21.102975","63.620183,-21.006414"
20113993013_ACTIVITY.fit,2025-08-19,2025-08-19,16:59:13,20:58:38,"63.370349,-18.540869","63.343001,-18.235201"
20130554878_ACTIVITY.fit,2025-08-21,2025-08-21,9:03:19,12:45:15,"63.340610,-18.123973","63.365628,-17.931917"
20155267747_ACTIVITY.fit,2025-08-23,2025-08-23,15:11:12,19:09:51,"64.088831,-15.440333","64.019977,-15.682576"
20158286900_ACTIVITY.fit,2025-08-24,2025-08-24,3:53:00,7:16:26,"64.020064,-15.682469","63.960269,-15.873472"
20200055711_ACTIVITY.fit,2025-08-27,2025-08-27,18:48:21,22:40:33,"63.949078,-15.909976","63.882061,-16.093153"
20210469056_ACTIVITY.fit,2025-08-28,2025-08-28,19:47:06,23:25:31,"63.835858,-16.273684","63.781658,-16.437744"
20249255889_ACTIVITY.fit,2025-09-01,2025-09-01,16:18:27,18:45:19,"63.435995,-17.591498","63.399150,-17.668385"
activity_19477846830.gpx,2025-06-19,2025-06-19,1:59:38,5:05:51,"66.556214,-20.550134","66.567175,-20.348407"
activity_19477848953.gpx,2025-06-19,2025-06-19,5:14:32,5:33:51,"66.566077,-20.349593","66.567410,-20.322392"
activity_19484969406.gpx,2025-06-19,2025-06-19,15:59:26,19:19:45,"66.567687,-20.323359","66.583262,-20.140696"
activity_19495038573.gpx,2025-06-20,2025-06-20,5:06:25,7:39:15,"66.583358,-20.141221","66.570415,-19.980235"
activity_19495050043.gpx,2025-06-20,2025-06-20,18:45:35,21:09:44,"66.570830,-19.981953","66.574306,-19.921277"
activity_19497175015.gpx,2025-06-21,2025-06-21,5:05:04,6:01:10,"66.574340,-19.921907","66.575991,-19.875838"
activity_19568160356.gpx,2025-06-27,2025-06-27,9:14:00,11:24:55,"66.576282,-19.875874","66.579076,-19.765331"
activity_19568175675.gpx,2025-06-27,2025-06-27,11:34:50,12:37:55,"66.579284,-19.765319","66.579124,-19.765168"
activity_19568178955.gpx,2025-06-27,2025-06-27,14:07:45,14:08:45,"66.580149,-19.630581","66.580071,-19.630754"
activity_19590313028.gpx,2025-06-30,2025-06-30,10:48:23,12:39:07,"66.580078,-19.608284","66.571011,-19.515492"
activity_19590337928.gpx,2025-06-30,2025-06-30,12:52:14,15:09:06,"66.570643,-19.516241","66.572219,-19.419920"
activity_19590954880.gpx,2025-06-30,2025-06-30,15:26:40,16:19:39,"66.572306,-19.420520","66.571449,-19.381472"
activity_19600720903.gpx,2025-07-01,2025-07-01,13:12:03,15:28:51,"66.570944,-19.382719","66.570742,-19.250114"
activity_19605614245.gpx,2025-07-01,2025-07-01,15:47:10,15:51:36,"66.570639,-19.251698","66.570773,-19.250887"
activity_19606041741.gpx,2025-07-02,2025-07-02,0:58:19,2:44:43,"66.570813,-19.173750","66.578504,-19.067078"
activity_19615128046.gpx,2025-07-02,2025-07-02,3:03:25,3:03:56,"66.578958,-19.068032","66.578985,-19.068049"
activity_19615139300.gpx,2025-07-02,2025-07-02,12:03:07,12:03:41,"66.578300,-18.961314","66.578373,-18.961332"
activity_19615147940.gpx,2025-07-02,2025-07-02,14:23:50,16:05:01,"66.578397,-18.838390","66.582704,-18.732318"
activity_19616208280.gpx,2025-07-03,2025-07-03,2:58:38,4:56:37,"66.583697,-18.732524","66.588085,-18.613966"
activity_19621536867.gpx,2025-07-03,2025-07-03,5:34:10,6:47:46,"66.588186,-18.615171","66.590413,-18.544778"
activity_19621573231.gpx,2025-07-03,2025-07-03,14:01:59,16:21:11,"66.590338,-18.544504","66.593055,-18.435711"
activity_19622975504.gpx,2025-07-03,2025-07-03,16:35:22,18:31:37,"66.592556,-18.437723","66.603681,-18.321289"
activity_19626429819.gpx,2025-07-04,2025-07-04,1:58:54,4:17:46,"66.603732,-18.321634","66.603260,-18.176222"
activity_19635075658.gpx,2025-07-04,2025-07-04,4:44:03,5:40:27,"66.603321,-18.176848","66.601016,-18.118770"
activity_19660111782.gpx,2025-07-04,2025-07-04,13:00:59,14:58:24,"66.600981,-18.118724","66.595397,-18.014275"
